,year,q,co2avg
0,2006,q3,118.10882352941175
1,2006,q4,58.28333333333334
2,2007,q2,69.86625
3,2007,q3,102.3102777777778
4,2007,q4,44.1074074074074
5,2008,q1,17.365217391304352
6,2008,q2,64.96033333333335
7,2008,q3,142.38888888888889
8,2008,q4,55.589444444444446
9,2009,q1,21.394000000000002
10,2009,q2,77.6921052631579
11,2009,q3,97.36857142857144
12,2009,q4,69.07714285714285
13,2010,q2,53.77611111111112
14,2010,q3,82.61944444444444
15,2010,q4,67.602
16,2011,q2,123.71833333333336
17,2011,q3,274.69
18,2012,q2,86.99727272727273
19,2012,q3,138.97956521739133
20,2012,q4,60.395
21,2013,q2,173.08083333333335
22,2013,q3,122.76999999999998
23,2013,q4,84.735
